layer_c_id,layer_name,duration_ms
0,fc_Add,0.016294118016958237
1,fc_4_MatMul,0.03427058830857277
2,fc_6_MatMul,0.012294117361307144
3,fc_13_MatMul,0.006441176403313875
4,fc_1_Add,0.006570588331669569
5,addition,0.0052058822475373745
6,tanh,0.014241176657378674
7,fc_8_MatMul,0.006441176403313875
8,addition_2,0.004970588255673647
9,fc_11_MatMul,0.004435294307768345
10,fc_2_Add,0.013064705766737461
11,fc_5_MatMul,0.022464705631136894
12,fc_7_MatMul,0.009100000374019146
13,fc_14_MatMul,0.005317647010087967
14,fc_3_Add,0.005764706060290337
15,addition_1,0.005088235251605511
16,tanh_1,0.011535294353961945
17,fc_9_MatMul,0.0052999998442828655
18,addition_3,0.004911764524877071
19,fc_12_MatMul,0.004135293886065483
20,addition_4,0.004852941259741783
21,fc_10_MatMul,0.0036882353015244007
