layer_c_id,layer_name,duration_ms
0,fc_Add,0.0063066668808460236
1,fc_4_MatMul,0.014683333225548267
2,fc_6_MatMul,0.005280000157654285
3,fc_13_MatMul,0.002883333247154951
4,fc_1_Add,0.0028966667596250772
5,addition,0.0026333334390074015
6,tanh,0.007519999984651804
7,fc_8_MatMul,0.0032333333510905504
8,addition_2,0.002156666712835431
9,fc_11_MatMul,0.002326666610315442
10,fc_2_Add,0.004943333100527525
11,fc_5_MatMul,0.009479999542236328
12,fc_7_MatMul,0.003800000064074993
13,fc_14_MatMul,0.002606666646897793
14,fc_3_Add,0.0027366667054593563
15,addition_1,0.00211666664108634
16,tanh_1,0.0058466666378080845
17,fc_9_MatMul,0.0027433333452790976
18,addition_3,0.0020666667260229588
19,fc_12_MatMul,0.0021699999924749136
20,addition_4,0.00203999993391335
21,fc_10_MatMul,0.002219999907538295
